 [antenna_current.dat]

     i     Im[i].re     Im[i].im      |Im[i]|   PhaseIm[i] 
    33   0.00001992  -0.00369689   0.00369694       -89.69
    34   0.00002505  -0.00327587   0.00327596       -89.56
    35  -0.00019321  -0.00038418   0.00043003      -116.70
    36  -0.00000146  -0.00015537   0.00015538       -90.54
    37  -0.00000187   0.00011237   0.00011238        90.95
    38   0.00003782  -0.00005694   0.00006836       -56.41
    39   0.00003786  -0.00000866   0.00003883       -12.89
    40   0.00003796   0.00003876   0.00005425        45.60
    41   0.00003815   0.00008389   0.00009216        65.55
    42   0.00003842   0.00012198   0.00012789        72.52
    43   0.00003881   0.00015765   0.00016236        76.17
    44   0.00003870  -0.00012516   0.00013101       -72.82



     i     Im[i].re     Im[i].im      |Im[i]|   PhaseIm[i] 
     1   0.00002088   0.00004084   0.00004587        62.92
     2   0.00002296   0.00002264   0.00003225        44.60
     3   0.00002394   0.00000620   0.00002472        14.51
     4   0.00002336   0.00000501   0.00002389        12.12
     5   0.00002140   0.00000775   0.00002276        19.91
     6   0.00001788   0.00001393   0.00002267        37.92
     7   0.00001392   0.00002176   0.00002583        57.40
     8   0.00001065   0.00002926   0.00003114        70.01
     9   0.00000794   0.00003647   0.00003732        77.72
    10   0.00000578   0.00004328   0.00004367        82.40
    11   0.00000497   0.00004878   0.00004903        84.18
    12   0.00000558   0.00005206   0.00005236        83.89
    13   0.00000747   0.00005312   0.00005365        81.99
    14   0.00001078   0.00005220   0.00005330        78.33
    15   0.00001461   0.00004979   0.00005189        73.64
    16   0.00001804   0.00004612   0.00004952        68.63
    17  -0.00014602  -0.00003042   0.00014916      -168.23
    18  -0.00000108  -0.00000090   0.00000141      -140.38
    19   0.00002972  -0.00274817   0.00274833       -89.38
    20   0.00003285  -0.00215526   0.00215551       -89.13
    21   0.00003430  -0.00117767   0.00117817       -88.33
    22   0.00003355  -0.00217538   0.00217564       -89.12
    23   0.00003072  -0.00274831   0.00274849       -89.36
    24   0.00002555  -0.00321623   0.00321634       -89.54
    25   0.00001964  -0.00360069   0.00360075       -89.69
    26   0.00001473  -0.00391981   0.00391983       -89.78
    27   0.00001061  -0.00415599   0.00415600       -89.85
    28   0.00000724  -0.00429963   0.00429963       -89.90
    29   0.00000587  -0.00435183   0.00435184       -89.92
    30   0.00000668  -0.00431556   0.00431557       -89.91
    31   0.00000947  -0.00419283   0.00419284       -89.87
    32   0.00001441  -0.00398970   0.00398973       -89.79
    33   0.00002019  -0.00369866   0.00369872       -89.69
    34   0.00002537  -0.00327781   0.00327791       -89.56
    35  -0.00019393  -0.00038413   0.00043031      -116.79
    36  -0.00000147  -0.00015524   0.00015524       -90.54
    37  -0.00000257   0.00011737   0.00011739        91.25
    38   0.00003908  -0.00006469   0.00007558       -58.86
    39   0.00003905  -0.00002156   0.00004461       -28.90
    40   0.00003908   0.00002105   0.00004439        28.31
    41   0.00003918   0.00006234   0.00007363        57.85
    42   0.00003937   0.00010120   0.00010859        68.74
    43   0.00003965   0.00013231   0.00013812        73.32
    44   0.00004005   0.00015953   0.00016448        75.91
    45   0.00003999  -0.00012644   0.00013261       -72.45



     i     Im[i].re     Im[i].im      |Im[i]|   PhaseIm[i] 
     1   0.00002043   0.00003678   0.00004208        60.95
     2   0.00002244   0.00001952   0.00002974        41.02
     3   0.00002338   0.00000390   0.00002370         9.47
     4   0.00002282   0.00000268   0.00002298         6.70
     5   0.00002093   0.00000520   0.00002157        13.95
     6   0.00001754   0.00001106   0.00002073        32.22
     7   0.00001372   0.00001851   0.00002304        53.46
     8   0.00001056   0.00002564   0.00002773        67.61
     9   0.00000795   0.00003252   0.00003348        76.26
    10   0.00000587   0.00003909   0.00003953        81.46
    11   0.00000509   0.00004439   0.00004468        83.46
    12   0.00000567   0.00004754   0.00004788        83.20
    13   0.00000750   0.00004858   0.00004915        81.23
    14   0.00001069   0.00004770   0.00004889        77.37
    15   0.00001438   0.00004540   0.00004762        72.43
    16   0.00001769   0.00004187   0.00004545        67.09
    17  -0.00014201  -0.00002068   0.00014350      -171.72
    18  -0.00000106  -0.00000076   0.00000130      -144.11
    19   0.00003011  -0.00274601   0.00274618       -89.37
    20   0.00003326  -0.00215366   0.00215392       -89.12
    21   0.00003472  -0.00117726   0.00117778       -88.31
    22   0.00003397  -0.00217453   0.00217479       -89.11
    23   0.00003113  -0.00274771   0.00274788       -89.35
    24   0.00002593  -0.00321580   0.00321590       -89.54
    25   0.00002000  -0.00360039   0.00360044       -89.68
    26   0.00001506  -0.00391952   0.00391955       -89.78
    27   0.00001090  -0.00415572   0.00415574       -89.85
    28   0.00000751  -0.00429940   0.00429941       -89.90
    29   0.00000612  -0.00435154   0.00435154       -89.92
    30   0.00000693  -0.00431513   0.00431513       -89.91
    31   0.00000973  -0.00419223   0.00419224       -89.87
    32   0.00001470  -0.00398888   0.00398890       -89.79
    33   0.00002051  -0.00369747   0.00369752       -89.68
    34   0.00002572  -0.00327629   0.00327639       -89.55
    35  -0.00019420  -0.00038276   0.00042920      -116.90
    36  -0.00000148  -0.00015518   0.00015519       -90.55
    37  -0.00000400   0.00011414   0.00011421        92.01
    38   0.00004051  -0.00006458   0.00007624       -57.90
    39   0.00004047  -0.00002172   0.00004592       -28.22
    40   0.00004046   0.00002081   0.00004550        27.22
